Author(s) | Year | Publication Title / Venue | Analytical Contribution
Roger Apéry | 1979 | Astérisque | Proves the irrationality of zeta(3)
Jean-Louis Nicolas | 1983 | Journal of Number Theory | Proves Nicolas' criterion
Guy Robin | 1984 | Journal de Mathématiques Pures et Appliquées | Proves Robin's criterion
J. B. Conrey and A. Ghosh | 1984 | Mathematische Annalen | Proves the first mean-value theorems for the derivative
Aleksandar Ivić | 1985 | The Riemann Zeta-Function (John Wiley & Sons) | Publishes the definitive reference textbook
A. M. Odlyzko and H. J. J. te Riele | 1985 | Journal für die reine und angewandte Mathematik | Disproves the Mertens Conjecture
Louis de Branges | 1986 | Journal of Functional Analysis | Proves the Bieberbach conjecture
M. V. Berry | 1986 | Proceedings of the Royal Society of London | Proposes quantum chaology
E. C. Titchmarsh and D. R. Heath-Brown | 1986 | The Theory of the Riemann Zeta-Function (2nd Ed.) | Revises Titchmarsh's classic text
A. M. Odlyzko | 1987 | Mathematics of Computation | Performs large-scale computations of the zeros
D. A. Goldston and H. L. Montgomery | 1987 | Srinivasa Ramanujan Centenary Volume | Establishes the equivalence between the pair correlation of zeros
J. B. Conrey | 1989 | Journal für die reine und angewandte Mathematik | Proves that at least two-fifths of zeros lie on the critical line
S. M. Voronin and A. A. Karatsuba | 1992 | The Riemann Zeta-Function (Walter de Gruyter) | Monograph synthesizing Russian analytical achievements
Enrico Bombieri and Dennis A. Hejhal | 1995 | Duke Mathematical Journal | Analyzes the zeros of linear combinations of L-functions
Xian-Jin Li | 1997 | Journal of Number Theory | Proves Li's criterion
J. B. Conrey, A. Ghosh, and S. M. Gonek | 1998 | Proceedings of the London Mathematical Society | Establishes that the Riemann Hypothesis and the Generalized Lindelöf Hypothesis imply that a high proportion of zeros are simple
Alain Connes | 1999 | Selecta Mathematica | Formulates the trace formula in noncommutative geometry
Nicholas M. Katz and Peter Sarnak | 1999 | Random Symmetries and Fluctuations (AMS) | Formulates the symmetry groups
M. V. Berry and J. P. Keating | 1999 | SIAM Review | Analyzes the classical and quantum mechanics
Nicholas M. Katz and Peter Sarnak | 1999 | Bulletin of the American Mathematical Society | Synthesizes the connection between random matrix theory
J. P. Keating and N. C. Snaith | 2000 | Communications in Mathematical Physics | Uses random matrix theory to solve the long-standing problem
Henryk Iwaniec and Emmanuel Kowalski | 2004 | Analytic Number Theory (AMS) | The modern definitive graduate-level reference textbook
K. Maslanka | 2004 | Journal of Computational and Applied Mathematics | Performs high-precision numerical computations of the Keiper-Li constants
Luis Báez-Duarte | 2003 | Atti della Accademia Nazionale dei Lincei | Proves the Báez-Duarte strengthening
J. B. Conrey | 2003 | Notices of the AMS | Writes the seminal expository survey
Peter Sarnak | 2004 | Clay Mathematics Institute Annual Report | Provides the formal Millennium Prize description
J. B. Conrey et al. | 2005 | Proceedings of the London Mathematical Society | Formulates the "recipe" for predicting the exact asymptotic shifts
H. L. Montgomery and R. C. Vaughan | 2007 | Multiplicative Number Theory I (CUP) | Monograph detailing the classical theory
Peter Borwein et al. (Eds.) | 2008 | The Riemann Hypothesis: A Resource for the... | Compiles the most important historical papers
K. Soundararajan | 2009 | Annals of Mathematics | Proves sharp upper bounds for the moments of the Riemann zeta function
D. A. Goldston, J. Pintz, and C. Y. Yıldırım | 2009 | Annals of Mathematics | Develops the GPY method for prime gaps
K. Soundararajan | 2010 | Annals of Mathematics | Proves weak subconvexity for general L-functions
Yitang Zhang | 2014 | Annals of Mathematics | Proves bounded gaps between primes
James Maynard | 2015 | Annals of Mathematics | Develops the multidimensional sieve
Terence Tao | 2016 | Publications Mathématiques de l'IHÉS | Solves the Erdős discrepancy problem
Kevin A. Broughan | 2017 | Equivalents of the Riemann Hypothesis I (CUP) | Monograph presenting the comprehensive mathematical taxonomy
Kevin A. Broughan | 2017 | Equivalents of the Riemann Hypothesis II (CUP) | Monograph presenting the comprehensive mathematical taxonomy
H. Montgomery et al. (Eds.) | 2017 | Exploring the Riemann Zeta Function (Springer) | A survey compiled for the 190th anniversary
Dave Platt and Timothy Trudgian | 2021 | Bulletin of the London Mathematical Society | Computes and verifies the Riemann Hypothesis rigorously
H. M. Bui and D. R. Heath-Brown | 2013 | Bulletin of the London Mathematical Society | Proves that at least simple zeros assuming only RH
S. Suman and R. K. Das | 2023 | Indian Journal of Pure and Applied Mathematics | Proves a new series sum equivalent
M. Mossinghoff, T. Trudgian, and A. Yang | 2024 | Journal of Number Theory | Establishes the largest explicit classical and Vinogradov-Korobov zero-free regions
Sandeep S. Jaiswal | 2026 | Indian Journal of Advanced Mathematics | Proposes a comprehensive disproof of the Riemann Hypothesis
B. Candelpergher | 2026 | arXiv:2512.11405 [math.NT] | Presents new polynomial expansions for the Dirichlet eta
Predrag B. Petrović | 2026 | Walter de Gruyter GmbH & Co KG | Monograph developing a special method
Larry Guth and James Maynard | 2026 | Annals of Mathematics | Proves new large-value estimates for Dirichlet polynomials
Harald Bohr and Børge Jessen | 1930 | Acta Mathematica | Proves a functional limit theorem
Atle Selberg | 1956 | Journal of the Indian Mathematical Society | Establishes the Selberg Trace Formula
G. Pólya | 1926 | Acta Mathematica | Analyzes the zeros of trigonometric integrals
J. P. Kahane | 1968 | Annales de l'Institut Fourier | Explores approximation properties
G. Montgomery and D. Goldston | 1987 | Srinivasa Ramanujan Centenary Volume | Explores the connection between the pair correlation
Alain Connes | 1999 | Selecta Mathematica | Formulates the adèlic spectral trace formula
J. P. Keating and N. C. Snaith | 2000 | Communications in Mathematical Physics | Connects GUE random matrix theory
Henryk Iwaniec and Emmanuel Kowalski | 2004 | Analytic Number Theory (AMS) | Formulates the definitive reference
K. Soundararajan | 2009 | Annals of Mathematics | Proves sharp upper bounds
Terence Tao et al. (Polymath15) | 2019 | Research in the Mathematical Sciences | Collaborative project proving the sharpest explicit upper bounds
Brad Rodgers and Terence Tao | 2020 | Forum of Mathematics, Pi | Proves Newman's conjecture
Sébastien Darses and Erwan Hillion | 2024 | Acta Arithmetica | Proves polynomial moments
Sébastien Darses and Joseph Najnudel | 2024 | The Ramanujan Journal | Derives multiple integral formulas
Vlasie | 2024 | Preprint / GADU-IOMM Framework | Proposes the Theory of Tired Infinity
LecMussDefect Authors | 2024 | Preprint / Statistical Mechanics | Explores the Bethe Ansatz equation
Alain Connes | 2026 | arXiv:2602.04022 [math.NT] | Formulates the "Letter to Riemann" Survey
Akiva Groskin | 2026 | Preprint (May 2026) | Performs the first independent high-precision replication
Preprints.org Authors | 2026 | Preprints.org: 202604.1513 | Proves strict log-concavity of the Riemann-Jacobi kernel
